action_id,action_name,available_to,cost,delay_mins,requires_approval,trust_impact,description
A11,Coal Ash Pond Permanent Remediation,AEP Grid Modernization & Energy Transition;VA DEQ Environmental Remediation & Monitoring,$800K,20,Governor's Recovery & Reconstruction Authority,+1,"Begin permanent remediation of the Wise County coal ash pond — cap-in-place or excavation. Expensive but eliminates the ongoing contamination source. Requires Governor authorization for emergency expenditure and AEP cost-share commitment."
A12,Community Environmental Monitoring Board,VA DEQ Environmental Remediation & Monitoring;Virginia Tech Community Resilience Research;SW Virginia EMA Long-Term Recovery Committee,$60K,10,NONE,+2,"Establish a community-based environmental monitoring board with binding authority to review remediation progress, access real-time sensor data, and trigger enforcement if milestones are missed. EMA coordinates cross-county participation from affected Wise, Lee, and Scott county communities. Builds long-term trust and accountability."
A13,Workforce Transition Program,Appalachian Regional Economic Development;SW Virginia Sheriff's Community Safety & Reintegration,$300K,15,NONE,+2,"Launch a comprehensive workforce transition program for displaced coal workers including skills assessment, retraining pathways (renewable energy, healthcare, tech), placement services, and income bridge support. Must be designed with worker input, not imposed top-down."
A14,Small Business Recovery Grants,Appalachian Regional Economic Development;Montgomery County Recovery & Housing Authority,$250K,10,NONE,+1,"Distribute emergency recovery grants to small businesses shuttered during the crisis. Prioritizes businesses in coalfield communities and those serving vulnerable populations (pharmacies, groceries, clinics). Requires application process and accountability for fund use."
A15,Appalachian Innovation Zone Application,Appalachian Regional Economic Development;Governor's Recovery & Reconstruction Authority,$50K,15,NONE,+1,"Submit application for federal Appalachian Innovation Zone designation — unlocking tax incentives, accelerated permitting, and federal investment matching for technology and renewable energy businesses locating in coalfield communities."
A16,Emergency Housing Stabilization,Montgomery County Recovery & Housing Authority;United Way Long-Term Recovery & Case Management,$200K,10,NONE,+1,"Provide emergency housing assistance (rent relief, temporary housing, relocation support) for families displaced by the crisis — including water contamination evacuees, families of deceased patients, and workers who lost housing when income stopped."
A17,Individual Recovery Case Management,United Way Long-Term Recovery & Case Management;Appalachian Faith & Mutual Aid Network,$120K,5,NONE,+2,"Deploy trained case managers to the most affected households to assess needs, connect to available resources, and advocate for gap-filling. Covers dialysis families, displaced workers, water contamination victims, and opioid recovery patients."
A18,Mutual Aid Network Formalization,Appalachian Faith & Mutual Aid Network;United Way Long-Term Recovery & Case Management,$80K,10,NONE,+2,"Convert the informal mutual aid and peer recovery networks that emerged during the crisis into sustainable organizations with governance, funding, and institutional partnerships. Prevents the community infrastructure from dissolving when the crisis ends."
A19,Community Recovery Input Sessions,Appalachian Faith & Mutual Aid Network;WDBJ7 Recovery Communications & Accountability,$40K,5,NONE,+2,"Host facilitated community input sessions in coalfield towns, Roanoke, and rural communities. Ensures that recovery planning reflects actual community priorities, not institutional assumptions. WDBJ7 provides transparency coverage."
A20,Infrastructure Vulnerability Assessment,VDOT Infrastructure Reconstruction & Hardening;Virginia Tech Community Resilience Research,$100K,10,NONE,+1,"Conduct a rapid vulnerability assessment of critical infrastructure (roads, bridges, utility corridors, water systems, power grid) to identify single-point failures exposed by the crisis. Produces a prioritized hardening investment list."
A21,Resilient Infrastructure Standards,VDOT Infrastructure Reconstruction & Hardening;AEP Grid Modernization & Energy Transition,$0,15,NONE,+1,"Adopt new infrastructure design standards requiring redundancy, cyber hardening, and climate resilience for all recovery-funded construction. Ensures rebuild investments don't recreate the same vulnerabilities. Costs nothing to adopt but increases per-project costs."
A22,Emergency Medical Corridor Permanence,VDOT Infrastructure Reconstruction & Hardening;Carilion Health System Recovery & Legal Affairs,$150K,10,NONE,+1,"Formalize the emergency medical transport corridors established during Phase 5 as permanent priority routes with maintained infrastructure, fuel priority agreements, and documented activation protocols."
A23,Grid Modernization Plan,AEP Grid Modernization & Energy Transition;Shentel Digital Infrastructure & Connectivity,$200K,15,NONE,+1,"Develop a comprehensive grid modernization plan eliminating single-point power failures exposed by the cyber attack. Includes distributed generation, microgrid pilots for critical facilities, and smart grid monitoring. Coordinated with Shentel for co-located digital infrastructure."
A24,Renewable Energy Workforce Pipeline,AEP Grid Modernization & Energy Transition;Appalachian Regional Economic Development,$180K,15,NONE,+2,"Create a renewable energy workforce training pipeline specifically for displaced coal workers. Partners AEP's solar and wind investment plans with workforce development to create replacement jobs in the same communities. Demonstrates economic transition is real, not rhetorical."
A25,Rural Broadband Expansion Plan,Shentel Digital Infrastructure & Connectivity;Virginia Tech Community Resilience Research,$250K,15,NONE,+2,"Develop a broadband expansion plan closing the digital divide in coalfield and rural communities. Includes fiber-to-premise in underserved areas, community Wi-Fi hotspots, and digital literacy programs. Enables remote work, telehealth, and educational access."
A26,Digital Resilience Infrastructure,Shentel Digital Infrastructure & Connectivity;SW Virginia EMA Long-Term Recovery Committee,$100K,10,NONE,+1,"Build redundant communication systems (mesh networks, satellite backup, offline-capable emergency systems) that prevent future communication blackouts during crises. Ensures emergency coordination continues even if primary networks fail."
A27,Recovery Transparency Dashboard,WDBJ7 Recovery Communications & Accountability;Virginia Tech Community Resilience Research,$30K,5,NONE,+2,"Launch a public-facing recovery dashboard tracking funding allocation, project progress, and community outcomes. Virginia Tech provides data analysis; WDBJ7 provides media coverage and accessibility. Builds accountability for recovery commitments."
A28,Community Voice Amplification,WDBJ7 Recovery Communications & Accountability;Appalachian Faith & Mutual Aid Network,$20K,0,NONE,+1,"Produce and distribute story packages amplifying the voices of affected community members — coal workers, dialysis families, water contamination residents — in recovery planning. Ensures recovery narrative includes those most affected, not just institutional leaders."
A29,Mine Site Environmental Security,SW Virginia Sheriff's Community Safety & Reintegration;VA DEQ Environmental Remediation & Monitoring,$0,5,NONE,0,"Secure coal mine and ash pond sites during the environmental review and remediation period. Prevents unauthorized access, illegal dumping, or tampering with monitoring equipment. Supports DEQ enforcement authority."
A30,Community Safety Transition Plan,SW Virginia Sheriff's Community Safety & Reintegration;Montgomery County Recovery & Housing Authority,$50K,10,NONE,+1,"Develop a community safety plan for the recovery period addressing increased economic stress, displacement, and lingering tensions from Phase 4 protests. Emphasizes de-escalation, community policing, and coordination with social services rather than enforcement-only approaches."
A31,HUD CDBG-DR Application,FEMA Region III Disaster Recovery Coordinator;Montgomery County Recovery & Housing Authority,$0,10,NONE,+1,"Submit application for HUD Community Development Block Grant — Disaster Recovery funding for housing, infrastructure, and economic development. Complements FEMA assistance and provides more flexible funding for community-defined priorities."
A32,Long-Term Health Monitoring Program,Carilion Health System Recovery & Legal Affairs;VA DEQ Environmental Remediation & Monitoring,$180K,15,NONE,+1,"Establish a long-term health monitoring program for residents exposed to water contamination and coal ash pollutants. Includes baseline health assessments, ongoing screening, and a health registry for epidemiological tracking. Addresses the long tail of environmental health impacts."
A33,Peer Recovery Navigator Permanence,United Way Long-Term Recovery & Case Management;Appalachian Faith & Mutual Aid Network;Carilion Health System Recovery & Legal Affairs,$100K,10,NONE,+2,"Formalize the peer recovery navigator program that emerged during the MOUD crisis as a permanent, credentialed workforce embedded in the healthcare system. Provides career pathways for community members and sustained support for the recovery population."
A34,Multi-County Impact Assessment,SW Virginia EMA Long-Term Recovery Committee;FEMA Region III Disaster Recovery Coordinator,$0,10,NONE,+1,"Compile a comprehensive multi-county impact assessment documenting cross-jurisdictional damage, governance disruption, and coordinated response needs across Lee, Wise, Dickenson, Buchanan, Scott, and Montgomery counties. Required supporting document for the FEMA preliminary damage assessment and federal disaster declaration request."
A35,Regional Disaster Recovery Plan,SW Virginia EMA Long-Term Recovery Committee;Governor's Recovery & Reconstruction Authority,$80K,15,NONE,+2,"Develop the region's first comprehensive disaster recovery plan incorporating cyber-cascading scenarios. Includes activation protocols, multi-county coordination procedures, resource-sharing agreements, and lessons learned from the current crisis. Designed to be replicable for other rural regions."
A36,Cross-County Community Engagement Coordination,SW Virginia EMA Long-Term Recovery Committee;Appalachian Faith & Mutual Aid Network,$40K,5,NONE,+2,"Organize and facilitate community input across multiple affected counties for recovery planning, environmental monitoring, and resource allocation decisions. EMA provides the cross-jurisdictional coordination infrastructure; Faith Network provides community trust and access. Ensures coalfield voices are represented in regional decisions."
