action_id,action_name,available_to,cost,delay_mins,requires_approval,trust_impact,description
A11,I-81 Detour & Local Access Plan,VDOT SW Region;SW Virginia EMA,$75K,5,NONE,0,"Deploy detour routing, traffic control points, and priority access for emergency vehicles and supply convoys while protests disrupt main corridors."
A12,Rapid Barriers and Signage Deployment,VDOT SW Region;SW Virginia Sheriff's Coalition,$120K,0,NONE,0,"Place barriers, cones, and signage to separate protest areas from convoy staging and keep crowds away from high-risk infrastructure (bridges, ramps, fuel terminals)."
A13,Joint Information Center (JIC) Stand-Up,SW Virginia EMA;Governor's SW Virginia Liaison;WDBJ7 News,$80K,5,NONE,+1,"Create a single public update cadence and channel structure, including rumor rebuttals and safety guidance. Improves coherence across agencies and media."
A14,Emergency Alert and Rumor Rebuttal Blast,SW Virginia EMA;Shentel Communications,$0,0,NONE,+1/-1,"Push an emergency alert and follow-up SMS/web updates addressing safety guidance and a specific high-impact rumor. Works best when paired with credible messengers."
A15,Transparent Rationing Policy,Food City / Regional Supply Chain;WDBJ7 News;United Way SW Virginia,$30K,0,NONE,+2,"Publish and enforce a transparent rationing and distribution fairness policy with clear criteria and public reporting (who, where, how much). Reduces claims of favoritism and hoarding."
A16,Mobile Distribution With Local Escorts,Food City / Regional Supply Chain;SW Virginia Sheriff's Coalition;Appalachian Faith & Community Network,$200K,10,NONE,+1,"Run escorted mobile distribution to underserved communities using local faith/community sites as delivery points. Requires coordination and visible fairness messaging."
A17,Rapid Fact-Check Desk,WDBJ7 News;Virginia Tech Crisis Response,$60K,0,NONE,+1,"Create a rapid fact-check workflow for viral claims (deepfakes, contamination rumors, conspiracy narratives). Publishes short, repeatable corrections with sources."
A18,Expert Call-In and Community Forum,WDBJ7 News;Carilion Clinic System;VA DEQ SW Regional Office,$40K,0,NONE,+1,"Run live Q&A with trusted experts to address public fears (health, water/air, system status) and reduce the appeal of conspiracy explanations."
A19,Deepfake Detection and Takedown Coordination,Shentel Communications;CISA Regional Coordinator;WDBJ7 News,$250K,10,NONE,+1,"Coordinate platform reporting, technical indicators, and account takedown requests for high-impact AI-generated content. Includes monitoring and escalation channels."
A20,Disinformation Threat Brief to Officials,CISA Regional Coordinator;Governor's SW Virginia Liaison;Montgomery County Government,$0,10,NONE,+1,"Provide a short actionable brief on active influence narratives, likely actors, and recommended countermeasures. Helps prevent self-inflicted messaging errors."
A21,Social Listening and Rumor Tracking,Virginia Tech Crisis Response;WDBJ7 News;SW Virginia EMA,$75K,5,NONE,+1,"Use open-source monitoring and community inputs to map rumor spread, key nodes, and emerging flashpoints. Produces a prioritized rumor response list."
A22,SMS Rumor Hotline Short Code,Shentel Communications;United Way SW Virginia,$100K,5,NONE,+2,"Stand up a short code for residents to forward suspicious messages and ask questions. Routes issues to a triage team and feeds the fact-check desk."
A23,Protect Critical Civic Systems,CISA Regional Coordinator;Shentel Communications;VDOT SW Region,$200K,15,NONE,0,"Harden and monitor key civic systems affected by the crisis (public alerts, traffic systems, critical comms). Reduces risk of a politically timed sabotage."
A24,Hospital Staff Safety and Threat Protocol,Carilion Clinic System;SW Virginia Sheriff's Coalition,$80K,5,NONE,+1,"Increase security posture and reporting channels for threats against clinicians, including safe entry points and coordination with law enforcement for rapid response."
A25,Mobile Mental Health Crisis Teams,Carilion Clinic System;United Way SW Virginia;Appalachian Faith & Community Network,$150K,10,NONE,+2,"Deploy crisis counselors and peer support to hot spots and distribution sites. Reduces violence risk and supports exhausted staff and families."
A26,Volunteer Peacekeeper Program,United Way SW Virginia;Appalachian Faith & Community Network,$60K,5,NONE,+2,"Train and deploy identifiable volunteers (non-enforcement) to help with queues, information distribution, and conflict de-escalation at public sites."
A27,Community Mediation and Grievance Intake,United Way SW Virginia;Montgomery County Government;Governor's SW Virginia Liaison,$120K,10,NONE,+2,"Create a structured process to log grievances, propose remedies, and track commitments publicly. Turns anger into actionable issues and reduces rumor oxygen."
A28,Trusted Messenger Network,Appalachian Faith & Community Network;WDBJ7 News,$10K,0,NONE,+2,"Coordinate pastors and community leaders to deliver consistent safety and anti-rumor messaging through trusted offline channels."
A29,Safe Haven and Cooling/Warming Sites,Appalachian Faith & Community Network;SW Virginia EMA,$40K,0,NONE,+1,"Open staffed safe sites for residents facing fear or threats, with basic services and referral pathways to healthcare and assistance."
A30,Environmental Transparency Update,VA DEQ SW Regional Office;WDBJ7 News,$20K,5,NONE,+1/-1,"Publish an understandable environmental status update (water systems, ash ponds, air quality) with what is known and unknown. Transparency can build trust but may trigger short-term panic."
A31,Rapid Field Sampling for Contamination Rumors,VA DEQ SW Regional Office;Carilion Clinic System,$180K,15,NONE,+1,"Run targeted field sampling and lab triage to validate or debunk a specific contamination claim. Provides evidence for public messaging and enforcement."
A32,Restoration Priorities Equity Map,AEP Appalachian Power;Governor's SW Virginia Liaison;WDBJ7 News,$0,5,NONE,+1,"Publish a clear map and criteria for restoration priorities (critical services, vulnerability, feasibility). Reduces allegations of favoritism and supports legitimacy."
A33,Harden Substations Against Sabotage,AEP Appalachian Power;SW Virginia Sheriff's Coalition;CISA Regional Coordinator,$400K,15,NONE,0,"Increase physical security and monitoring at key substations and switching stations amid heightened tension and copycat threats."
A34,Federal Liaison War Room,Governor's SW Virginia Liaison;CISA Regional Coordinator;Virginia Tech Crisis Response,$0,15,NONE,+1,"Coordinate a unified federal narrative and evidence package (economic impacts, civil unrest risk, infrastructure harm) for hearings and funding pathways."
A35,Civil Liberties Guardrails,Governor's SW Virginia Liaison;Montgomery County Government;SW Virginia Sheriff's Coalition,$0,10,NONE,+1,"Adopt written guardrails for protest response, surveillance limits, and enforcement thresholds. Helps prevent legitimacy loss and long-term backlash."
A36,Transparent Use-of-Force Reporting,SW Virginia Sheriff's Coalition;WDBJ7 News,$50K,5,NONE,+1,"Publish daily aggregated enforcement metrics and bodycam review policy for major incidents. Reduces rumor fuel and improves accountability perceptions."
A37,Resource Allocation Transparency Dashboard,SW Virginia EMA;Virginia Tech Crisis Response;WDBJ7 News,$120K,10,NONE,+2,"Publish where supplies, escorts, and services are going and why, with a simple update cadence. Addresses rural-vs-urban favoritism narratives."
A38,Emergency Convoy Lane Authorization,VDOT SW Region;SW Virginia EMA,$0,5,Governor's SW Virginia Liaison,0,"Authorize limited priority movement for emergency supply convoys on key corridors. Helps logistics but requires state-level sign-off to avoid legal/political conflict."
A39,Community Advisory Board for Distribution,Food City / Regional Supply Chain;United Way SW Virginia;Appalachian Faith & Community Network;Montgomery County Government,$15K,5,NONE,+2,"Create a small advisory board with community representatives to review distribution plans, fairness criteria, and complaints. Builds legitimacy and reduces flashpoint risk."
A40,Mobile Charging and Heating/Cooling Centers,AEP Appalachian Power;Appalachian Faith & Community Network;SW Virginia EMA,$250K,10,NONE,+1,"Deploy mobile power assets and coordinate community sites to provide charging, heating/cooling, and information access. Reduces frustration that fuels unrest."
